article_id,ncd_id,ncd_section,ncd_title,governing_article_id,governing_title
52369,,,,,
52370,,,,,
52379,,,,,
52399,158,250.3,Intravenous Immune Globulin for the Treatment of Autoimmune Mucocutaneous Blistering Diseases,,
52420,,,,,
52421,,,,,
52423,,,,,
52430,1,310.1,Routine Costs in Clinical Trials,,
52432,,,,,
52434,,,,,
52435,,,,,
52437,,,,,
52438,,,,,
52448,,,,,
52450,,,,,
52451,,,,,
52453,,,,,
52459,219,280.3,Mobility Assistive Equipment (MAE),,
52460,,,,,
52461,190,280.1,Durable Medical Equipment Reference List,,
52462,,,,,
52463,,,,,
52467,190,280.1,Durable Medical Equipment Reference List,,
52469,274,50.1,Speech Generating Devices,,
52470,,,,,
52476,190,280.1,Durable Medical Equipment Reference List,,
52477,190,280.1,Durable Medical Equipment Reference List,,
52489,190,280.1,Durable Medical Equipment Reference List,,
52495,229,240.5,Intrapulmonary Percussive Ventilator (IPV),,
52496,,,,,
52497,219,280.3,Mobility Assistive Equipment (MAE),,
52498,376,280.16,Seat Elevation Equipment (Power Operated) on Power Wheelchairs,,
52500,,,,,
52502,190,280.1,Durable Medical Equipment Reference List,,
52503,219,280.3,Mobility Assistive Equipment (MAE),,
52504,376,280.16,Seat Elevation Equipment (Power Operated) on Power Wheelchairs,,
52505,219,280.3,Mobility Assistive Equipment (MAE),,
52508,227,280.7,Hospital Beds,,
52511,,,,,
52512,,,,,
52513,65,150.2,Osteogenic Stimulators,,
52514,190,280.1,Durable Medical Equipment Reference List,,
52516,190,280.1,Durable Medical Equipment Reference List,,
52517,380,240.9,Noninvasive Positive Pressure Ventilation (NIPPV) in the Home for the Treatment of Chronic Respiratory Failure (CRF) Consequent to Chronic Obstructive Pulmonary Disease (COPD),,
52518,190,280.1,Durable Medical Equipment Reference List,,
52520,273,280.13,Transcutaneous Electrical Nerve Stimulators (TENS) - RETIRED,,
52521,,,,,
52527,,,,,
52535,,,,,
52537,,,,,
52571,,,,,
52711,,,,,
52712,,,,,
52713,,,,,
52800,,,,,
52825,,,,,
52830,,,,,
52837,,,,,
52840,1,310.1,Routine Costs in Clinical Trials,,
52841,,,,,
52842,,,,,
52845,,,,,
52849,272,220.13,Percutaneous Image-Guided Breast Biopsy,,
52850,62,20.25,Cardiac Catheterization Performed in Other than a Hospital Setting - RETIRED,,
52855,158,250.3,Intravenous Immune Globulin for the Treatment of Autoimmune Mucocutaneous Blistering Diseases,,
52863,,,,,
52866,237,50.2,Electronic Speech Aids,,
52868,263,220.5,Ultrasound Diagnostic Procedures,,
52870,,,,,
52917,,,,,
52918,,,,,
52986,372,90.2,Next Generation Sequencing (NGS),53106,MolDX: Oncotype DX® Colon Cancer Assay Update
52992,,,,,
52993,,,,,
52996,,,,,
52998,,,,,
53001,,,,,
53006,,,,,
53008,,,,,
53018,,,,,
53019,,,,,
53020,,,,,
53021,,,,,
53024,,,,,
53026,57,100.1,Bariatric Surgery for Treatment of Co-Morbid Conditions Related to Morbid Obesity,,
53032,,,,,
53033,,,,,
53043,,,,,
53047,,,,,
53052,,,,,
53053,,,,,
53055,,,,,
53056,,,,,
53057,94,160.15,Electrotherapy for Treatment of Facial Nerve Paralysis (Bell's Palsy),,
53058,,,,,
53060,,,,,
53064,131,270.1,Electrical Stimulation (ES) and Electromagnetic Therapy for the Treatment of Wounds,,
53065,131,270.1,Electrical Stimulation (ES) and Electromagnetic Therapy for the Treatment of Wounds,52468,Pressure Reducing Support Surfaces - Group 3- Policy Article
53066,,,,,
53084,,,,,
53095,,,,,
53101,,,,,
53104,,,,,
53105,,,,,
53127,,,,,
53134,294,220.6.9,FDG PET for Refractory Seizures,,
53296,,,,,
53304,,,,,
53322,,,,,
53352,,,,,
53356,,,,,
53359,249,230.18,Sacral Nerve Stimulation For Urinary Incontinence,,
53387,,,,,
53399,,,,,
53423,,,,,
53435,,,,,
53441,,,,,
53444,57,100.1,Bariatric Surgery for Treatment of Co-Morbid Conditions Related to Morbid Obesity,,
53446,,,,,
53472,,,,,
53480,,,,,
53482,,,,,
53484,,,,,
53488,,,,,
53495,,,,,
53497,,,,,
53531,,,,,
53538,,,,,
53558,,,,,
53605,,,,,
53702,,,,,
