article_id,display_id,article_type,article_title,status,article_eff_date,article_end_date,ncd_id,ncd_section,ncd_title,governing_article_id,contractor_ids,contractor_names,hcpc_code,short_description,long_description
52369,,6,Billing and Coding: Arthroscopic Lavage and Arthroscopic Debridement for the Osteoarthritic Knee – Medical Policy Article,A,2026-04-01 00:00:00,,,,,,"500,501,502,504,505,506,507,508,509,510,511,512,513,514,515,516,517,519,520,521,522,523",Wellpoint Federal,29877,Arthrs knee surg dbrdmt/shvg,"ARTHROSCOPY, KNEE, SURGICAL; DEBRIDEMENT/SHAVING OF ARTICULAR CARTILAGE (CHONDROPLASTY)"
52369,,6,Billing and Coding: Arthroscopic Lavage and Arthroscopic Debridement for the Osteoarthritic Knee – Medical Policy Article,A,2026-04-01 00:00:00,,,,,,"500,501,502,504,505,506,507,508,509,510,511,512,513,514,515,516,517,519,520,521,522,523",Wellpoint Federal,29999,Unlisted px arthroscopy,"UNLISTED PROCEDURE, ARTHROSCOPY"
52369,,6,Billing and Coding: Arthroscopic Lavage and Arthroscopic Debridement for the Osteoarthritic Knee – Medical Policy Article,A,2026-04-01 00:00:00,,,,,,"500,501,502,504,505,506,507,508,509,510,511,512,513,514,515,516,517,519,520,521,522,523",Wellpoint Federal,G0289,"Arthro, loose body + chondro","ARTHROSCOPY, KNEE, SURGICAL, FOR REMOVAL OF LOOSE BODY, FOREIGN BODY, DEBRIDEMENT/SHAVING OF ARTICULAR CARTILAGE (CHONDROPLASTY) AT THE TIME OF OTHER SURGICAL KNEE ARTHROSCOPY IN A DIFFERENT COMPARTMENT OF THE SAME KNEE"
52370,,6,Billing and Coding: Bevacizumab and biosimilars,A,2026-07-01 00:00:00,,,,,,"500,501,502,504,505,506,507,508,509,510,511,512,513,514,515,516,517,519,520,521,522,523",Wellpoint Federal,67028,Injection eye drug,INTRAVITREAL INJECTION OF A PHARMACOLOGIC AGENT (SEPARATE PROCEDURE)
52370,,6,Billing and Coding: Bevacizumab and biosimilars,A,2026-07-01 00:00:00,,,,,,"500,501,502,504,505,506,507,508,509,510,511,512,513,514,515,516,517,519,520,521,522,523",Wellpoint Federal,C9257,Bevacizumab injection,"INJECTION, BEVACIZUMAB, 0.25 MG"
52370,,6,Billing and Coding: Bevacizumab and biosimilars,A,2026-07-01 00:00:00,,,,,,"500,501,502,504,505,506,507,508,509,510,511,512,513,514,515,516,517,519,520,521,522,523",Wellpoint Federal,J3590,Unclassified biologics,UNCLASSIFIED BIOLOGICS
52370,,6,Billing and Coding: Bevacizumab and biosimilars,A,2026-07-01 00:00:00,,,,,,"500,501,502,504,505,506,507,508,509,510,511,512,513,514,515,516,517,519,520,521,522,523",Wellpoint Federal,J9035,Bevacizumab injection,"INJECTION, BEVACIZUMAB, 10 MG"
52370,,6,Billing and Coding: Bevacizumab and biosimilars,A,2026-07-01 00:00:00,,,,,,"500,501,502,504,505,506,507,508,509,510,511,512,513,514,515,516,517,519,520,521,522,523",Wellpoint Federal,Q5107,Inj mvasi 10 mg,"INJECTION, BEVACIZUMAB-AWWB, BIOSIMILAR, (MVASI), 10 MG"
52370,,6,Billing and Coding: Bevacizumab and biosimilars,A,2026-07-01 00:00:00,,,,,,"500,501,502,504,505,506,507,508,509,510,511,512,513,514,515,516,517,519,520,521,522,523",Wellpoint Federal,Q5118,"Inj., zirabev, 10 mg","INJECTION, BEVACIZUMAB-BVZR, BIOSIMILAR, (ZIRABEV), 10 MG"
52370,,6,Billing and Coding: Bevacizumab and biosimilars,A,2026-07-01 00:00:00,,,,,,"500,501,502,504,505,506,507,508,509,510,511,512,513,514,515,516,517,519,520,521,522,523",Wellpoint Federal,Q5126,Inj alymsys 10 mg,"INJECTION, BEVACIZUMAB-MALY, BIOSIMILAR, (ALYMSYS), 10 MG"
