contractor_id,contractor_name,states
139,"Noridian Healthcare Solutions, LLC",1;4;5;6;15;16;18;32;35;40;44;49;52;56;59;60;66;67
140,"CGS Administrators, LLC",8;10;11;17;21;22;25;29;32;35;36;42;45;49;52;53;58;59
143,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
144,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
145,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
146,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
147,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
148,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
149,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
151,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
228,"CGS Administrators, LLC",8;10;11;17;21;22;25;29;32;35;36;42;45;49;52;53;58;59
236,"CGS Administrators, LLC",8;10;11;17;21;22;25;29;32;35;36;42;45;49;52;53;58;59
238,"CGS Administrators, LLC",8;10;11;17;21;22;25;29;32;35;36;42;45;49;52;53;58;59
239,"CGS Administrators, LLC",8;10;11;17;21;22;25;29;32;35;36;42;45;49;52;53;58;59
240,"CGS Administrators, LLC",8;10;11;17;21;22;25;29;32;35;36;42;45;49;52;53;58;59
264,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
265,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
266,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
267,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
268,WPS Insurance Corporation,1;2;3;5;6;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;34;35;36;37;38;39;40;42;43;44;45;47;48;49;50;51;52;53;55;56;57;58;59;62
269,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
270,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
271,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
272,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
273,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
274,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
275,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
297,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
298,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
299,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
300,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
301,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
302,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
303,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
304,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
305,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
306,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
307,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
308,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
309,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
310,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
311,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
312,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
313,"National Government Services, Inc.",1;4;5;6;9;15;16;18;19;24;26;27;28;37;38;40;41;44;46;47;54;55;56;57;60;63;64;65
314,"Novitas Solutions, Inc.",3;8;10;11;23;25;31;38;39;43;45;51
315,"Novitas Solutions, Inc.",3;8;10;11;23;25;31;38;39;43;45;51
316,"Novitas Solutions, Inc.",3;8;10;11;23;25;31;38;39;43;45;51
317,"Novitas Solutions, Inc.",3;8;10;11;23;25;31;38;39;43;45;51
318,"Novitas Solutions, Inc.",3;8;10;11;23;25;31;38;39;43;45;51
319,"Novitas Solutions, Inc.",3;8;10;11;23;25;31;38;39;43;45;51
320,"Novitas Solutions, Inc.",3;8;10;11;23;25;31;38;39;43;45;51
321,"Novitas Solutions, Inc.",3;8;10;11;23;25;31;38;39;43;45;51
