icd10_code,article_id,covered,group
A00.0,58710,Y,2
A00.0,58720,Y,2
A00.0,58747,Y,2
A00.0,58761,Y,2
A00.0,58963,Y,2
A00.1,58710,Y,2
A00.1,58720,Y,2
A00.1,58747,Y,2
A00.1,58761,Y,2
A00.1,58963,Y,2
A00.9,58710,Y,2
A00.9,58720,Y,2
A00.9,58747,Y,2
A00.9,58761,Y,2
A00.9,58963,Y,2
A01.00,58710,Y,2
A01.00,58710,Y,4
A01.00,58720,Y,2
A01.00,58720,Y,4
A01.00,58747,Y,2
A01.00,58747,Y,4
A01.00,58761,Y,2
A01.00,58761,Y,4
A01.00,58963,Y,2
A01.01,57326,Y,1
A01.01,58710,Y,4
A01.01,58720,Y,4
A01.01,58747,Y,4
A01.01,58761,Y,4
A01.02,57326,Y,1
A01.02,58710,Y,4
A01.02,58720,Y,4
A01.02,58747,Y,4
A01.02,58761,Y,4
A01.03,57326,Y,1
A01.03,58710,Y,4
A01.03,58720,Y,4
A01.03,58747,Y,4
A01.03,58761,Y,4
A01.04,57326,Y,1
A01.04,58710,Y,10
A01.04,58710,Y,4
A01.04,58720,Y,10
A01.04,58720,Y,4
A01.04,58747,Y,10
A01.04,58747,Y,4
A01.04,58761,Y,10
A01.04,58761,Y,4
A01.05,57326,Y,1
A01.05,58710,Y,4
A01.05,58720,Y,4
A01.05,58747,Y,4
A01.05,58761,Y,4
A01.09,57326,Y,1
A01.09,58710,Y,2
A01.09,58710,Y,4
A01.09,58720,Y,2
A01.09,58720,Y,4
A01.09,58747,Y,2
A01.09,58747,Y,4
A01.09,58761,Y,2
A01.09,58761,Y,4
A01.1,58710,Y,2
A01.1,58710,Y,4
A01.1,58720,Y,2
A01.1,58720,Y,4
A01.1,58747,Y,2
A01.1,58747,Y,4
A01.1,58761,Y,2
A01.1,58761,Y,4
A01.1,58963,Y,2
A01.2,58710,Y,2
A01.2,58710,Y,4
A01.2,58720,Y,2
A01.2,58720,Y,4
A01.2,58747,Y,2
A01.2,58747,Y,4
A01.2,58761,Y,2
A01.2,58761,Y,4
A01.2,58963,Y,2
A01.3,58710,Y,2
A01.3,58710,Y,4
A01.3,58720,Y,2
A01.3,58720,Y,4
A01.3,58747,Y,2
A01.3,58747,Y,4
A01.3,58761,Y,2
A01.3,58761,Y,4
A01.3,58963,Y,2
A02.0,58710,Y,2
A02.0,58720,Y,2
A02.0,58747,Y,2
A02.0,58761,Y,2
A02.0,58963,Y,2
A02.1,52868,Y,1
A02.1,56809,Y,1
A02.1,57326,Y,1
A02.1,58710,Y,2
A02.1,58720,Y,2
A02.1,58747,Y,2
A02.1,58761,Y,2
A02.21,57204,Y,1
A02.21,57206,Y,1
A02.23,58710,Y,10
A02.23,58720,Y,10
A02.23,58747,Y,10
A02.23,58761,Y,10
A02.24,57206,Y,1
A02.8,58710,Y,2
A02.8,58720,Y,2
A02.8,58747,Y,2
A02.8,58761,Y,2
A03.0,58710,Y,2
A03.0,58720,Y,2
A03.0,58747,Y,2
A03.0,58761,Y,2
A03.0,58963,Y,2
A03.1,58710,Y,2
A03.1,58720,Y,2
A03.1,58747,Y,2
A03.1,58761,Y,2
A03.1,58963,Y,2
