state_id,state_name,abbr,state_group
1,Alaska,AK,
2,Alabama,AL,
3,Arkansas,AR,
4,American Samoa,AS,
5,Arizona,AZ,
6,California - Entire State,CA,CA
8,Colorado,CO,
9,Connecticut,CT,
10,District of Columbia,DC,
11,Delaware,DE,
12,Florida,FL,
14,Georgia,GA,
15,Guam,GU,
16,Hawaii,HI,
17,Iowa,IA,
18,Idaho,ID,
19,Illinois,IL,
20,Indiana,IN,
21,Kansas,KS,
22,Kentucky,KY,
23,Louisiana,LA,
24,Massachusetts,MA,
25,Maryland,MD,
26,Maine,ME,
27,Michigan,MI,
28,Minnesota,MN,
29,Missouri - Entire State,MO,MO
31,Mississippi,MS,
32,Montana,MT,
34,North Carolina,NC,
35,North Dakota,ND,
36,Nebraska,NE,
37,New Hampshire,NH,
38,New Jersey,NJ,
39,New Mexico,NM,
40,Nevada,NV,
41,New York - Entire State,NY,NY
42,Ohio,OH,
43,Oklahoma,OK,
44,Oregon,OR,
45,Pennsylvania,PA,
46,Puerto Rico,PR,
47,Rhode Island,RI,
48,South Carolina,SC,
49,South Dakota,SD,
50,Tennessee,TN,
51,Texas,TX,
52,Utah,UT,
53,Virginia,VA,
54,Virgin Islands,VI,
55,Vermont,VT,
56,Washington,WA,
57,Wisconsin,WI,
58,West Virginia,WV,
59,Wyoming,WY,
60,Northern Mariana Islands,MP,
61,Missouri - Northeastern & Southern,MO,MO
62,Missouri - Northwestern,MO,MO
63,New York - Downstate,NY,NY
64,New York - Queens,NY,NY
65,New York - Upstate,NY,NY
66,California - Northern,CA,CA
67,California - Southern,CA,CA
